Gene,WT_L8_rep1,WT_L8_rep2,WT_L12_rep1,WT_L12_rep2,KO_L8_rep1,KO_L8_rep2,KO_L12_rep1,KO_L12_rep2
Msrb1,213,214,208,225,218,270,204,237
Gys1,921,1176,777,1019,563,801,914,1218
Olfr1124,0,0,0,0,0,0,0,0
Tomm70a,2584,3054,1968,2208,4468,3937,3817,2920
Mir5620,0,1,0,0,0,0,0,0
Vmn1r176,0,0,0,0,0,0,0,0
Zranb3,296,335,253,228,354,371,418,388
Slain1,109,164,67,78,196,133,222,116
Dnajb8,1,0,0,0,0,0,0,0
Tm9sf1,1080,1047,1394,1138,732,655,852,670
Stk32b,38,65,108,166,44,55,48,24
Appbp2,1721,1778,1724,1967,1110,940,1484,834
1700012P22Rik,0,0,0,0,0,0,0,0
Adamts14,25,24,34,44,65,49,111,46
Zmynd10,15,13,13,20,4,1,6,3
Mir1932,0,0,0,0,0,0,0,2
Slc35b4,762,962,830,889,685,333,725,370
Senp1,841,954,734,706,1232,1124,1286,1078
Cenpn,405,399,369,351,554,481,536,401
Rassf1,506,652,555,663,535,321,507,222
Mir6398,0,0,0,0,0,0,0,0
Slc51a,5,11,14,22,0,3,12,4
Chml,326,455,296,532,446,513,530,389
Cpsf7,1147,1375,1207,1286,1583,1278,1858,1249
Pcdhb10,0,0,1,1,1,0,2,5
Mir466f-2,0,0,0,0,0,0,0,0
Adam20,0,0,0,0,0,0,0,0
Prss42,2,1,5,2,5,0,8,1
Olfr593,0,0,0,0,0,0,0,0
Mylk,38,33,85,109,127,62,185,122
Yars2,265,398,230,239,608,406,477,250
Tma7,132,143,137,153,181,171,151,103
Gm10364,4,8,4,4,8,5,7,3
Fam122c,0,0,0,0,0,0,0,0
Mir149,0,0,0,0,0,0,0,0
Rprm,59,46,26,14,201,91,229,118
Cops4,1016,1127,914,1019,1572,1660,1537,1571
Cd151,1395,1661,1875,2247,1370,1160,1485,1055
Csnk1g1,656,701,620,646,914,860,1093,906
Lta4h,899,1432,871,1321,978,875,1174,1011
Lppr4,4,5,4,5,2,1,8,2
Defb42,0,0,0,0,1,1,1,2
Olfr33,0,0,0,0,0,0,0,0
Serpina5,3,1,0,3,0,2,1,0
Pyy,19,16,1,1,3,2,0,0
Sf3a1,2151,2318,1612,1726,3475,2701,3691,2040
Coasy,282,339,250,285,313,172,341,168
Mir5710,0,0,2,0,0,0,0,0
Gm2663,0,0,0,0,0,0,0,0
Serpinh1,24039,18662,45413,39105,11077,6252,12931,7564
Taz,271,354,295,330,350,187,427,194
Mogat1,27,1,100,30,2,0,0,1
Mir1948,0,0,0,0,0,0,0,0
Fasn,7046,7522,4571,3857,10528,7686,9975,5146
Olfr638,0,0,0,0,0,0,0,0
Xpo5,1621,1668,1248,1260,2267,2336,2425,1797
Aar2,408,534,420,447,691,448,697,324
Ghr,440,634,856,1665,385,445,555,762
Apol10b,0,0,1,0,0,0,0,0
Hapln4,32,13,42,33,55,21,35,14
Crygc,0,0,0,0,0,2,0,3
Olfr222,1,0,1,1,0,0,0,0
Sohlh2,5,1,3,0,27,7,51,15
4931406B18Rik,0,0,0,0,0,0,0,0
Mul1,307,352,337,410,427,199,507,160
Qdpr,672,780,498,598,902,506,877,354
Klhl30,3,3,4,15,4,7,6,15
Fndc3a,3572,2587,5350,3618,1442,1122,2078,2092
Arl3,267,334,226,271,446,371,622,431
En1,23,7,20,18,18,21,19,20
Haghl,99,127,120,114,112,59,218,80
Gm14326,23,16,24,26,31,34,24,53
Taok2,894,1005,1041,917,1076,715,1608,742
Matn3,21,14,15,12,48,17,26,12
Pramel7,0,0,1,0,5,0,9,0
Smim20,158,175,171,127,163,66,130,63
2310007B03Rik,0,0,0,0,9,3,7,0
A1cf,3,8,10,22,1,0,2,0
Cdh20,22,2,11,2,56,15,76,7
Clcn7,1289,1446,1440,1480,678,427,818,351
Abra,1,1,3,5,2,3,1,3
Cspg4,13,10,32,42,8,18,34,19
9930104L06Rik,175,209,204,189,270,158,284,124
Gid8,712,843,764,760,1087,878,1363,953
Nme7,353,415,340,406,432,406,449,337
Snord49a,3,6,2,4,17,6,5,4
Nmi,13,8,5,9,30,3,35,9
Pdia3,12280,11429,17762,18520,9833,9529,9662,9361
Mir7065,0,1,2,0,0,0,1,0
Cldn13,0,5,1,2,0,0,0,0
Slc35d3,8,17,20,46,33,8,17,13
5730480H06Rik,21,27,19,29,34,13,33,15
Gm8909,11,7,3,9,25,15,64,13
Olfr1394,0,0,0,0,0,0,0,0
9030404E10Rik,2,2,8,10,1,0,3,0
Ryk,1145,1617,1273,1528,1609,1706,1720,1525
Gm16390,0,0,0,0,0,0,0,0
Dvl1,558,741,714,813,715,416,874,334
Vmn1r121,0,0,0,0,0,0,0,0
Kcng3,5,11,3,3,10,11,13,8
Tbrg1,2858,3400,3668,4018,1490,1008,1708,983
Wbscr17,18,15,95,19,18,20,62,133
Vmn2r53,0,0,0,0,0,0,0,0
Agap2,18,9,22,14,81,44,181,39
Ucn,1,2,2,1,0,0,1,0
Gdf9,58,33,136,56,3,0,6,4
Wdr4,530,647,435,470,882,435,781,273
Ehd1,2767,3434,2625,3113,2124,1154,2314,914
1700019L03Rik,20,13,11,20,13,12,19,9
Dbndd2,70,93,77,73,74,33,94,22
Slitrk6,2,2,11,5,6,12,136,85
Plekho1,224,346,150,203,508,428,684,394
4930425O10Rik,0,0,0,0,0,0,0,0
Cmip,910,909,562,506,995,930,1462,1019
Mrpl16,378,397,350,354,379,302,349,203
Gm6416,0,0,0,0,0,0,0,0
Tmem106b,1053,1335,1519,1642,638,304,893,488
Tmem150cos,1,6,3,5,3,1,2,5
Vpreb1,1,3,2,3,2,1,3,1
Efcab6,2,1,0,0,5,0,4,3
4930430A15Rik,0,0,0,0,0,0,0,0
Ccny,954,1248,865,1109,1380,1415,1450,1309
Zfp846,86,112,93,68,124,130,190,149
Cd2,4,0,0,1,1,1,2,0
Mcpt8,0,0,0,0,1,6,0,0
Wdr83os,136,118,165,123,203,145,212,142
Gzma,0,0,0,0,0,0,0,0
Crtc1,256,254,331,362,367,181,539,255
Htatsf1,944,1064,1141,1180,1097,916,1501,916
Pkig,198,266,209,224,360,250,370,227
Svs3a,2,6,5,4,0,0,0,0
Ift43,182,207,171,227,186,128,207,161
Casp9,434,530,495,475,412,286,519,310
Maoa,285,309,168,277,564,439,489,346
Ick,279,356,335,296,600,552,751,480
Mcm8,381,381,297,322,432,400,443,346
Dbt,586,587,477,491,532,444,522,411
Zfp568,2298,2943,2211,2930,3262,2951,2779,1865
Zic2,400,266,137,64,1127,904,1236,615
Mir682,2,1,0,2,3,2,2,4
F10,57,105,152,216,13,13,18,6
Spag17,45,29,33,35,69,40,60,34
Zfp53,77,96,97,100,133,88,153,99
Ranbp17,177,167,95,78,418,244,592,244
Mettl23,86,112,78,100,119,75,171,76
Spdl1,389,420,352,368,497,405,584,303
Gm572,2,0,0,3,0,0,2,0
4931431C16Rik,16,13,16,13,4,12,13,7
Slc9b1,18,8,6,6,11,2,9,8
Pigb,86,111,110,105,136,142,150,162
Olfr818,0,0,0,0,0,0,0,0
Gm1821,1019,1149,1057,1229,1241,748,1297,646
Mb,6,5,3,6,2,3,6,3
Tomm40l,282,239,231,220,379,224,380,143
Mir3471-2,0,0,0,0,0,0,1,0
Vmn1r44,0,0,0,0,0,0,0,0
Fxyd3,168,77,468,300,25,3,42,7
Popdc3,3,10,0,4,15,23,13,65
C920021L13Rik,2,9,10,10,17,25,22,50
Kctd14,0,1,4,1,1,0,2,0
Ophn1,48,85,29,45,72,88,114,92
Higd1c,0,1,0,0,0,0,1,0
Speer7-ps1,0,0,0,1,0,0,0,0
Krtap19-5,0,0,0,0,0,0,0,0
Mir342,0,0,0,0,0,0,0,0
Pknox1,348,358,409,404,338,204,554,322
Caprin1,7625,9131,6483,7525,9907,11313,11003,10127
Hspbp1,394,484,376,423,621,252,620,154
Angptl6,33,58,296,576,26,9,31,23
Garnl3,157,157,84,110,371,263,265,233
Kif18a,326,313,207,212,443,513,502,561
Gtf2a1l,25,25,33,18,5,3,4,0
Apaf1,1453,1536,1507,1530,1367,1109,1367,1004
4930447J18Rik,0,0,0,0,0,0,0,0
Olfr907,0,0,0,0,0,0,0,0
Wfdc15b,0,0,0,0,0,0,0,0
Agpat9,35,52,28,40,103,78,116,68
Hist1h2bm,0,0,0,0,3,2,4,1
4930527G23Rik,0,0,0,0,0,0,0,0
Mir1904,0,0,0,0,0,0,0,0
B4galnt3,425,433,673,874,276,134,382,119
Eif4a2,3361,3565,3741,4033,3624,2863,4250,3084
Cpne5,18,17,12,14,75,67,92,28
Ccdc142,89,94,119,107,42,27,62,29
Bhlhe41,231,290,181,221,88,95,125,116
Fuz,134,173,151,134,152,55,177,57
Hspb11,68,87,75,95,82,162,98,129
Mir19b-2,0,0,0,0,0,0,0,0
Phyhip,13,15,8,14,16,9,23,12
Crls1,267,431,316,278,462,537,434,381
Dvl2,1199,1387,956,941,1105,467,1429,512
Klk11,4,0,1,1,1,0,3,2
Snord15b,3,7,1,0,7,5,3,3
1700064M15Rik,0,0,0,1,0,0,1,0
Sccpdh,625,991,476,746,656,564,764,568
Mirlet7f-1,0,0,1,1,1,0,1,0
Gm12,0,0,0,0,0,0,0,0
Mir3081,0,0,0,0,0,0,0,0
Exoc6b,555,708,501,633,533,718,473,563
Tnrc18,1469,1953,2061,2229,1070,717,2337,1213
Vmn1r83,0,0,0,0,0,0,0,0
Tecta,0,2,2,4,1,1,2,1
Gm13157,166,193,126,124,157,205,153,183
Acta1,17,21,43,37,84,31,37,12
Olfr1346,0,0,0,0,0,0,0,0
4933409K07Rik,0,0,0,0,0,0,0,0
Arid1a,3293,4196,3072,3237,4740,3739,5951,3592
Snora7a,11,7,5,9,47,26,29,11
Mup7,0,0,0,0,0,0,0,0
Rest,865,971,721,724,1330,936,1760,994
Abcc2,475,707,568,999,48,6,58,78
Fam189b,175,276,159,162,316,184,316,189
Olfr279,0,0,0,0,0,0,0,0
Tubb3,191,209,243,91,662,500,1751,479
Serpinc1,3,3,10,10,1,6,3,2
Mboat1,91,160,158,226,117,94,135,81
Fopnl,163,187,258,291,284,158,383,259
Ranbp9,581,784,539,627,809,846,834,727
Cpsf4,526,651,487,505,819,591,828,405
Ube2r2,1458,2027,1604,1824,2077,2381,2163,2073
Bin2,42,47,28,36,31,4,35,8
Tmem229b,59,48,137,165,49,18,105,23
Grxcr2,0,0,0,0,0,0,0,0
Olfr495,0,0,0,0,0,0,0,0
Rpap2,217,230,210,195,322,160,295,158
Gm5595,72,132,78,106,113,226,126,128
Sel1l3,593,672,1057,1088,180,97,292,111
Usp38,914,795,806,731,860,798,932,690
Fam71f2,6,5,3,7,3,5,6,2
Mtmr10,552,537,525,564,361,226,412,191
Mir1191b,0,0,0,0,0,0,0,0
8430437L04Rik,0,0,0,0,0,0,0,0
Zdhhc1,66,99,126,127,53,46,169,102
Ttll10,9,6,25,27,3,5,9,10
Mypn,0,0,2,4,3,2,0,1
Tdp1,354,314,284,293,554,444,536,386
AI662270,82,263,75,193,447,99,431,129
Prss22,1,0,8,2,8,4,18,2
Cdh9,3,1,0,1,8,6,15,5
Olfr338,0,0,0,0,0,0,0,0
Olfr1475,0,0,0,0,0,0,0,0
Syne1,413,347,946,903,116,65,271,343
Dph7,187,204,159,165,287,161,333,164
6720489N17Rik,75,93,68,74,126,199,150,162
Maats1,0,4,1,2,4,0,3,7
Slc7a8,376,682,376,833,119,82,159,144
Fosl2,445,630,663,617,472,389,368,276
Greb1l,1226,2187,794,1158,2071,2443,912,738
Lmbrd2,288,327,351,306,237,272,329,260
Krt78,0,1,0,1,1,1,1,0
Hs3st3a1,23,27,26,26,12,17,44,36
Fam227b,9,16,8,16,7,6,8,4
Ppp1r1c,0,0,0,0,0,0,4,0
Cwc15,790,972,820,964,1063,1008,1070,867
Abl2,1367,1506,1092,1144,2134,1350,1985,1139
4930519D14Rik,0,0,0,0,0,0,0,0
Lrrc17,5,46,32,72,7,12,109,225
Lrrn1,159,168,137,44,213,113,578,161
E2f3,746,934,689,749,1310,1085,1347,893
4930463O16Rik,0,0,0,0,0,0,1,1
Mir669b,0,0,0,0,0,0,0,0
Rabggtb,970,1111,971,982,1283,876,1193,809
Tmed4,586,652,826,904,744,421,906,506
Yme1l1,2329,2633,2508,2679,2686,2689,2907,2636
Vpreb3,1,0,1,1,5,1,1,0
Gm9513,0,0,0,0,0,0,0,0
Cox14,185,230,277,263,217,116,311,103
Dnah1,26,44,28,25,18,26,46,18
Cbx3,152,173,125,159,215,66,292,65
Fcrl5,0,0,0,0,0,0,0,0
Gm10556,0,0,0,0,0,0,0,0
Olfr979,0,0,0,0,0,0,0,0
Ccnl1,1034,1299,984,1124,1238,1152,1329,1036
Kcnj5,28,111,25,81,12,62,16,28
Gm5124,49,33,36,21,61,70,66,35
Mir1197,1,0,0,0,0,0,0,1
Treml1,0,3,10,50,0,0,1,6
Zscan4b,0,0,0,0,0,0,0,0
Bivm,346,364,286,302,433,395,419,409
Gm5294,0,0,0,1,0,0,0,0
4930426D05Rik,10,2,8,2,14,6,28,5
Gopc,579,746,602,701,618,519,660,468
Mylk2,0,0,2,1,1,0,0,6
Ankrd34c,0,0,0,0,0,2,0,0
9330175E14Rik,0,1,0,0,0,0,0,2
Gm694,1,0,0,1,1,1,1,1
Kif26a,323,526,192,268,385,341,588,198
Olfr646,0,0,0,0,0,0,0,0
Pigt,1014,1046,1102,1122,838,877,887,742
Twist2,50,165,47,91,90,147,182,208
Esyt1,760,913,676,799,757,784,844,487
Zfp575,5,9,5,4,8,1,11,0
Stard4,962,1495,989,1504,467,407,588,508
Foxc1,63,45,64,51,111,145,229,277
Svs5,0,0,0,0,0,0,0,0
Onecut2,52,25,121,157,48,84,247,136
Ifnar1,989,1252,1247,1382,1194,1253,1434,1269
Cfap74,16,21,23,21,65,15,74,32
Pnp2,8,2,1,2,32,20,19,9
Cyp26b1,15,14,53,27,22,6,174,75
Anln,1828,1963,1570,1543,1761,1764,1758,1606
Gm14548,0,0,0,0,0,0,0,0
Krtap1-3,0,0,0,0,0,0,0,0
Emc4,248,296,306,335,312,281,394,212
Dio3os,38,90,127,213,5,6,33,29
2310005A03Rik,0,1,0,0,0,0,0,0
Mbd6,1009,1272,1289,1198,794,452,1283,557
Gtf2a1,412,453,485,497,570,413,642,481
Nlrp4g,3,2,1,0,6,9,4,5
Rnf182,9,4,6,4,28,23,58,25
Sox21,177,95,210,83,254,60,429,11
Chaf1a,1412,1667,1062,1128,2161,1221,2333,1054
Gnb3,0,1,1,4,0,1,8,32
Amh,3,4,9,3,9,5,17,5
Ocstamp,0,0,0,0,0,5,0,0
Gm9899,4,3,1,5,4,5,17,33
Mmel1,12,3,7,2,3,3,5,3
BC006965,0,1,1,5,0,1,2,1
Zfp830,365,422,361,397,489,381,536,320
Rpl14,1539,2522,1264,1960,2405,1772,2060,1322
Mir7238,6,5,7,3,10,2,13,0
Rag1,2,0,0,0,0,0,2,0
1700024I08Rik,0,0,0,0,0,0,0,0
Tomm40,1154,1331,831,1011,1776,984,1579,712
C1qa,0,0,1,11,0,0,0,0
Mir292,1,1,0,1,1,4,2,0
Cypt8,0,0,0,0,0,0,0,0
Nfatc4,224,354,173,253,399,265,849,489
Gtf2f2,438,405,352,308,578,561,475,326
Tfcp2l1,791,1506,850,2159,970,576,1478,721
Nt5c3b,238,340,250,309,434,164,556,306
Mirlet7b,0,0,0,0,0,0,0,0
Tnfsf14,0,2,2,19,0,0,0,2
Gda,0,1,1,0,0,3,2,3
Ppp4r1,1377,1671,1676,1820,1617,1297,1685,1155
Nup210l,42,72,34,57,49,101,97,77
Mef2b,16,12,12,12,25,10,24,15
Zfp296,46,38,19,16,191,173,165,129
Lrrtm3,2,4,0,2,6,3,8,1
Adm2,8,12,8,8,11,3,16,1
D030024E09Rik,0,0,0,0,0,0,0,0
Cwc22,366,423,311,314,572,446,550,370
Mir6354,0,0,0,0,0,0,0,0
Zfp433,9,13,11,16,13,15,18,10
Ube2l6,24,94,31,71,27,18,62,79
Psmc5,1584,1792,1343,1436,2632,1489,2458,1081
6430584L05Rik,0,0,1,0,0,0,1,0
Pip4k2b,746,809,646,656,1203,1060,1501,928
Mir5622,0,0,0,0,0,0,0,0
Gm16367,0,0,0,0,0,0,0,0
Serinc3,2648,3356,3109,4117,2131,2375,2124,2673
Plce1,223,192,413,371,301,307,319,404
Tlr13,0,0,3,20,0,0,1,0
1700018F24Rik,0,0,0,0,0,0,0,0
4930592A05Rik,1,6,7,12,1,2,4,13
Gm10248,0,0,0,0,0,0,0,0
Mesdc2,1096,1071,1107,1263,1394,1026,1473,1112
1700046C09Rik,0,0,0,0,0,0,0,0
Gm9,4,1,1,1,7,3,19,11
D130020L05Rik,203,230,192,203,281,96,316,102
Zfp219,788,779,696,711,1294,572,1981,506
Ano9,98,82,97,86,44,39,82,47
Vmn1r232,0,0,0,0,0,0,0,0
Pdia5,804,579,1635,1515,367,187,483,226
Invs,282,272,362,339,294,253,323,232
Gm21319,0,0,0,1,0,0,0,1
Flot2,1095,1242,1087,1043,1149,987,970,576
Slbp,683,859,574,624,1058,945,1073,730
Cml1,3,11,10,5,5,4,2,7
Myt1l,2,2,7,8,6,1,34,6
Rgs8,9,42,4,6,19,12,50,25
Nebl,19,23,18,43,27,32,79,43
Esp1,0,0,0,0,0,0,0,0
Ipo5,7294,6395,4587,3869,10342,8592,9497,6274
Dgkh,143,93,112,44,99,73,110,83
Gm4890,16,20,28,18,13,13,40,29
Wdr17,8,8,3,5,17,17,21,8
8430423G03Rik,0,0,0,0,0,0,0,0
Gm15127,0,0,0,0,0,0,0,0
Gdpd3,16,20,13,26,13,17,15,15
4930442L01Rik,4,6,16,17,3,0,6,0
C4b,0,0,0,0,2,5,0,1
Trp53rk,35,44,30,34,56,40,56,27
4930512B01Rik,14,30,13,22,34,38,27,37
Olfr393,0,0,0,0,0,0,0,0
Akr1b3,48,60,38,35,199,61,164,35
Gm15348,1,0,0,0,0,0,0,0
Fbxw5,323,393,364,378,405,296,559,263
Mir6996,0,0,0,0,0,0,0,0
Purb,2066,2478,2389,2462,2750,2203,3382,2244
Mir1901,2,8,2,1,4,2,5,2
Tspyl4,100,101,141,118,176,176,372,210
Plxna4os1,0,2,0,0,0,0,1,0
Zfp800,227,299,249,274,228,150,289,151
Dpy19l2,1,2,7,4,0,0,2,1
Ahcy,172,200,127,144,481,268,355,178
Ifi202b,0,0,0,0,1,0,3,1
Zxda,107,141,150,173,80,57,130,100
Cenpc1,438,496,367,397,588,652,665,653
Abcd1,162,203,213,260,108,75,180,117
Il6ra,15,44,20,28,42,35,26,12
Brpf3,1240,1552,1772,1827,1320,1335,1698,1409
Dmrt3,11,17,8,29,33,15,32,24
Mael,4,0,1,1,5,2,12,10
Dsg4,0,2,0,0,0,0,0,1
Gm867,13,15,4,21,11,37,13,28
Kifap3,650,778,586,712,803,864,950,830
4631405J19Rik,0,0,0,0,0,0,0,0
Ggta1,2120,1877,2587,2346,712,551,732,592
Tcf20,1346,1716,1001,1207,1868,1651,2363,1684
Synj1,905,1267,968,994,443,289,571,300
Fbln2,163,428,203,455,228,822,163,520
Olfr661,0,0,0,0,0,0,0,0
Vmn2r111,0,0,0,0,0,0,0,0
Txlng,165,196,88,109,260,280,256,223
Mras,98,179,184,319,100,97,294,206
Hiatl1,719,871,765,799,781,736,853,655
Mir770,4,0,7,0,2,4,8,2
Ssc4d,26,37,25,28,38,19,37,12
9130401M01Rik,330,384,282,283,627,291,489,208
Scpep1os,176,157,157,215,69,60,80,107
Ros1,1,4,3,10,1,0,1,2
Gdap10,96,124,85,62,64,73,110,73
Zfp326,448,475,470,503,571,455,715,570
Tspan5,1209,936,929,788,606,541,735,362
Lyzl4,0,0,0,0,0,0,1,0
Arnt,935,1167,1105,1307,953,805,1371,1062
H2-T10,6,0,2,0,5,5,8,3
Hnrnpm,4056,5103,3143,3705,6354,5062,6917,4193
Hamp,0,0,1,1,0,1,1,0
Fuk,328,283,338,283,206,96,284,90
Fut9,55,35,26,13,253,183,363,186
Dhrs3,191,180,388,356,44,25,181,136
Mkl1,475,575,556,592,544,379,682,334
Hnrnpk,3425,4040,3129,3434,5298,3699,5325,3364
Mir7040,0,0,0,1,0,0,1,0
Rdx,6426,10452,5489,8136,5328,4873,5875,5735
Krt71,0,3,0,0,0,0,2,1
Mctp1,2,7,5,5,22,29,11,17
Olfr836,0,0,1,0,0,0,0,0
Spsb3,309,359,335,331,405,254,350,149
2810433D01Rik,3,4,8,12,8,2,1,12
4933429O19Rik,0,0,0,0,0,0,1,0
9530077C05Rik,17,31,26,42,33,9,33,13
Mir7681,0,0,0,0,0,0,1,0
Anxa5,757,1377,1257,1901,1185,875,978,1015
Olfr1040,0,0,0,0,0,0,0,0
Jdp2,153,233,329,491,119,117,156,157
Slc5a11,13,12,12,13,36,24,47,25
Gcnt2,218,267,363,502,295,141,245,174
Pdzd2,129,82,255,256,183,97,290,132
Defa26,0,0,0,0,0,0,0,0
Acap2,837,1044,791,867,910,817,1067,774
Rmnd5b,393,429,401,423,342,258,439,247
Tsen15,101,112,69,81,181,122,122,101
Cyp2c40,0,0,0,0,0,0,0,0
Pck2,456,427,546,624,560,346,553,377
Gm11992,7,2,10,23,7,4,1,2
Nt5c3,293,337,339,356,264,168,297,164
Gm11567,0,0,0,0,0,0,0,0
Jun,1454,1738,1200,1060,867,1066,1488,1076
Lrguk,17,8,4,5,8,7,15,5
Cldnd1,664,822,723,819,859,718,807,748
Specc1,474,586,532,657,659,517,733,497
Sec24c,3036,2831,3840,3423,2597,1801,3136,1825
1810043G02Rik,143,140,209,197,171,92,188,106
Slc6a19os,1,1,2,0,0,0,0,0
Tex24,0,0,0,0,0,0,0,0
Shc2,433,677,410,527,469,339,383,177
Lrmp,7,12,6,14,8,7,19,19
Vmn1r46,0,0,0,0,0,0,0,0
Mcl1,2734,3298,2662,3137,3599,3060,3951,3117
Gm11237,0,0,0,0,0,0,0,0
E530011L22Rik,34,44,45,38,46,24,70,53
Zfp317,633,768,525,639,911,920,962,749
Amz2,515,532,517,603,694,475,853,528
Sypl2,1,0,3,2,8,8,8,6
Olfr10,0,0,0,0,0,0,0,0
Mir5099,0,0,0,0,0,0,0,0
3930402G23Rik,1,14,21,18,16,11,7,9
Clasp2,1022,1216,848,798,1195,1168,1332,942
Hint1,1318,1521,1469,1562,2026,1254,2113,1090
14-Sep,1,2,0,0,0,0,1,0
Tnfrsf13b,0,2,1,2,0,0,0,0
Mir7656,0,0,0,0,0,0,0,0
Whsc1,2025,2188,1531,1705,2936,2555,3468,1931
Hk1,425,586,490,484,374,337,718,899
Mipol1,124,131,85,103,108,93,95,72
Btbd9,474,553,577,578,509,328,622,317
Vwa2,30,16,34,17,130,31,111,31
Dlx2,8,7,11,2,13,8,52,9
Olfr492,0,0,0,0,0,0,0,0
Mir467a-7,0,0,0,0,0,0,0,0
Tnfrsf23,12,19,18,19,20,12,10,7
Erp27,0,0,0,5,1,0,0,14
Aplp1,618,562,809,738,325,180,786,448
Rab39,24,16,10,8,21,27,30,29
Vmn1r230,0,0,0,0,0,0,0,0
Zfp930,281,283,213,204,511,474,444,386
10-Mar,3,20,8,13,3,1,4,20
Ptplad2,34,32,71,70,9,22,19,22
Olfr1477,0,0,0,0,0,0,0,0
Cyp1b1,72,17,34,52,204,91,422,175
Cars,826,868,905,1111,1257,954,1242,743
Amph,315,279,65,92,1092,1194,284,308
Ctc1,1143,1201,1057,1007,1475,1171,2002,1210
Stfa3,0,0,0,0,0,0,0,0
Mir28c,0,0,0,0,0,0,0,0
Aldh3b2,22,20,13,7,8,2,43,3
Pald1,459,522,208,274,1042,589,972,486
Mrgbp,111,116,113,123,190,91,224,101
Snx33,650,546,1052,831,244,285,342,283
Cdk5,361,409,396,442,311,258,418,350
Gnai2,4341,5338,3930,4623,5515,4443,4921,3332
Vstm5,67,53,121,72,17,8,22,21
Rpl34,1057,1201,944,924,1485,1342,1280,860
St14,1265,1447,1373,1605,1467,704,1542,639
Diras1,4,0,5,3,19,0,23,4
Cyp4f17,77,73,94,88,62,56,92,80
D630033O11Rik,0,0,0,0,0,1,1,1
Mrvi1,23,109,115,286,12,25,126,294
2610020C07Rik,321,434,282,293,533,487,475,394
Olfr1181,0,0,0,0,0,0,0,0
Olfr365,0,0,0,0,0,0,0,0
Iqcj,0,0,0,0,0,0,0,0
Asphd1,3,0,0,1,5,0,4,0
Ptprn,61,82,21,45,301,261,103,96
4930578I06Rik,0,0,1,0,0,0,0,0
Dydc1,2,6,0,3,0,2,1,1
Dhdds,366,458,508,574,446,281,561,374
Nhlh2,5,1,22,3,6,2,267,33
Gm14295,12,12,17,13,11,7,24,11
Abcc4,628,738,965,1311,484,346,573,308
Gab2,152,289,223,284,122,110,378,330
Bpifb4,1,0,0,0,1,1,1,0
Gm12060,36,29,45,29,27,12,22,11
Vmn1r223,0,0,0,0,0,0,0,0
Aqr,1743,1947,1331,1419,2673,2768,2822,2326
Gm4759,0,0,0,0,0,0,0,0
Olfr1300-ps1,0,0,0,0,0,0,0,0
Olfr796,0,0,0,0,0,0,0,0
B3galt2,0,1,0,0,0,2,6,1
Ccdc157,187,221,272,225,224,121,343,158
Tmem45a,32,90,102,228,67,95,175,453
Ppm1j,30,46,24,16,47,17,48,15
Olfr853,0,0,0,0,0,0,0,0
Zfp459,90,54,44,37,230,108,251,118
Imp3,483,549,467,489,596,401,586,301
Idi1,26,49,18,19,61,40,60,28
4930459L07Rik,0,0,0,0,0,0,0,0
Olfr1286,0,0,0,0,0,0,0,0
Gm1976,100,123,62,65,101,124,138,101
Ctnna2,44,25,29,13,30,26,132,42
Gm9376,0,0,0,0,0,0,0,0
Gm21498,0,0,0,0,0,0,0,0
Als2cr12,0,0,0,2,0,0,0,1
Phc3,484,551,679,696,431,383,694,636
Scel,25,45,58,55,14,23,25,19
Cd27,0,3,5,1,2,0,2,1
Adck4,137,174,202,187,136,90,214,131
Cd3g,0,1,0,0,0,0,0,0
4931440J10Rik,5,5,5,14,9,3,9,1
Pla2g16,44,80,22,46,58,40,90,53
Mir6344,0,0,0,0,0,0,0,0
Litaf,818,773,1177,1009,761,646,724,362
Mir5107,0,0,0,0,0,0,0,0
Lrriq1,3,2,1,3,10,2,11,1
5830416P10Rik,12,15,4,10,3,3,8,0
Gvin1,0,0,0,0,0,0,0,0
Olfr1182,0,0,0,0,0,0,0,0
2700089E24Rik,494,652,656,851,533,633,777,994
Olfr1535,0,0,0,0,0,0,0,0
Krt82,0,0,0,0,0,0,0,0
Hoxc13,37,38,40,62,23,12,23,9
Hist1h2bh,2,2,1,0,2,0,1,1
Lpar5,11,13,8,4,4,1,23,1
Mir471,0,0,0,0,0,0,0,0
4930595M18Rik,0,0,0,0,0,0,1,0
Meox1,6,19,6,6,28,33,90,52
5730412P04Rik,0,0,0,1,0,0,0,0
Syap1,486,581,648,763,383,288,548,495
Oaf,393,404,906,1073,239,207,436,222
Capns2,2,6,0,2,2,1,4,2
Comp,23,22,27,25,13,12,18,3
Uggt2,259,239,221,204,229,201,319,252
Ppp1r1a,83,26,65,36,235,233,154,125
Lrg1,0,1,0,0,0,0,0,1
Edc4,1496,1534,1608,1336,1479,1379,1775,1278
Tut1,499,548,452,437,616,479,799,412
Rnf181,1308,1563,1573,2057,826,298,910,323
Hectd1,2789,3217,2521,2799,3403,3033,3989,2910
Magt1,1614,1593,2271,2230,1116,909,1407,983
Olfr1309,0,0,0,0,0,0,0,0
Snord12,12,19,3,13,34,24,31,20
Adarb1,79,125,239,363,171,110,274,177
Coa7,284,349,350,376,453,393,459,286
Nsf,859,859,826,809,1161,722,1323,622
Sgpp2,46,71,63,142,44,22,46,54
